ListSizes,TestResult
0,0
1000,4
2000,1
3000,2
4000,3
5000,3
6000,4
7000,9
8000,6
9000,6
10000,6
11000,11
12000,6
13000,10
14000,11
15000,14
16000,15
17000,10
18000,14
19000,12
20000,19
21000,17
22000,17
23000,18
24000,21
25000,19
26000,21
27000,19
28000,26
29000,27
30000,20
31000,26
32000,25
33000,27
34000,32
35000,27
36000,29
37000,31
38000,31
39000,32
40000,30
41000,32
42000,36
43000,32
44000,38
45000,34
46000,38
47000,37
48000,40
49000,41
50000,37
51000,43
52000,40
53000,37
54000,52
55000,39
56000,48
57000,43
58000,44
59000,47
60000,50
61000,47
62000,47
63000,56
64000,48
65000,53
66000,50
67000,54
68000,53
69000,58
70000,55
71000,60
72000,55
73000,60
74000,57
75000,61
76000,63
77000,59
78000,63
79000,61
80000,64
81000,63
82000,69
83000,66
84000,63
85000,67
86000,69
87000,70
88000,72
89000,67
90000,77
91000,74
92000,73
93000,76
94000,75
95000,84
96000,75
97000,76
98000,79
99000,80
100000,81
101000,81
102000,82
103000,83
104000,84
105000,83
106000,81
107000,90
108000,86
109000,91
110000,90
111000,84
112000,91
113000,87
114000,94
115000,91
116000,92
117000,94
118000,96
119000,90
120000,97
121000,96
122000,100
123000,99
124000,100
125000,100
126000,96
127000,104
128000,98
129000,99
130000,104
131000,110
132000,107
133000,101
134000,113
135000,109
136000,113
137000,107
138000,115
139000,110
140000,111
141000,115
142000,107
143000,116
144000,117
145000,112
146000,118
147000,114
148000,119
149000,117
150000,118
151000,122
152000,121
153000,120
154000,121
155000,124
156000,122
157000,126
158000,130
159000,123
160000,125
161000,132
162000,126
163000,131
164000,132
165000,130
166000,134
167000,137
168000,135
169000,132
170000,139
171000,129
172000,141
173000,139
174000,137
175000,138
176000,142
177000,139
178000,143
179000,139
180000,150
181000,146
182000,145
183000,146
184000,144
185000,150
186000,150
187000,149
188000,152
189000,150
190000,152
191000,147
192000,162
193000,155
194000,154
195000,155
196000,154
197000,156
198000,160
199000,162
