K,TestResult
0,17
1000,186
2000,200
3000,206
4000,212
5000,213
6000,224
7000,229
8000,224
9000,228
10000,228
11000,238
12000,234
13000,234
14000,228
15000,237
16000,242
17000,243
18000,244
19000,248
20000,249
21000,241
22000,254
23000,252
24000,243
25000,251
26000,247
27000,260
28000,256
29000,249
30000,254
31000,258
32000,253
33000,256
34000,263
35000,263
36000,258
37000,279
38000,275
39000,269
40000,266
41000,264
42000,267
43000,273
44000,279
45000,273
46000,272
47000,270
48000,269
49000,283
50000,281
51000,282
52000,317
53000,283
54000,276
55000,304
56000,277
57000,279
58000,285
59000,287
60000,285
61000,299
62000,290
63000,311
64000,285
65000,282
66000,286
67000,286
68000,291
69000,292
70000,290
71000,292
72000,313
73000,305
74000,302
75000,292
76000,296
77000,299
78000,296
79000,294
80000,301
81000,321
82000,306
83000,316
84000,298
85000,301
86000,301
87000,304
88000,326
89000,302
90000,331
91000,319
92000,303
93000,317
94000,318
95000,306
96000,325
97000,320
98000,314
99000,305
100000,329
101000,310
102000,318
103000,350
104000,316
105000,312
106000,322
107000,342
108000,338
109000,327
110000,333
111000,326
112000,324
113000,341
114000,346
115000,338
116000,333
117000,331
118000,342
119000,355
120000,332
121000,326
122000,331
123000,346
124000,326
125000,355
126000,373
127000,339
128000,334
129000,339
130000,327
131000,350
132000,335
133000,348
134000,358
135000,365
136000,332
137000,345
138000,343
139000,336
140000,337
141000,332
142000,351
143000,372
144000,345
145000,343
146000,342
147000,338
148000,346
149000,360
150000,355
151000,352
152000,342
153000,348
154000,340
155000,357
156000,348
157000,349
158000,346
159000,351
160000,364
161000,355
162000,355
163000,369
164000,353
165000,357
166000,366
167000,359
168000,362
169000,370
170000,363
171000,369
172000,363
173000,361
174000,395
175000,392
176000,372
177000,375
178000,379
179000,401
180000,392
181000,380
182000,390
183000,368
184000,397
185000,378
186000,411
187000,394
188000,391
189000,380
190000,395
191000,385
192000,387
193000,386
194000,381
195000,401
196000,402
197000,394
198000,378
199000,400
