DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,1,0
2000,1,1,0
3000,1,1,1
4000,4,3,1
5000,6,3,4
6000,6,3,4
7000,13,7,9
8000,16,7,8
9000,18,9,7
10000,22,10,5
11000,25,11,11
12000,29,11,7
13000,57,21,14
14000,61,22,16
15000,66,24,16
16000,73,25,16
17000,79,28,17
18000,86,30,19
19000,94,30,16
20000,103,33,17
21000,111,34,22
22000,123,38,16
23000,131,40,22
24000,143,41,18
25000,159,44,17
26000,293,73,42
27000,303,78,35
28000,318,80,33
29000,327,83,35
30000,354,92,31
31000,348,92,30
32000,388,93,36
33000,387,101,35
34000,418,105,33
35000,416,106,41
36000,457,113,39
37000,495,118,39
38000,513,129,37
39000,548,134,38
40000,541,133,38
41000,599,137,42
42000,615,138,40
43000,602,150,41
44000,664,152,35
45000,708,155,47
46000,745,162,38
47000,776,176,46
48000,788,177,47
49000,842,186,48
50000,866,191,48
51000,919,199,44
52000,1533,306,79
53000,1645,314,80
54000,1595,317,79
55000,1703,323,83
56000,1639,341,74
57000,1599,342,80
58000,1728,373,77
59000,1748,383,78
60000,1804,374,82
61000,1846,397,82
62000,2002,405,79
63000,2023,399,87
64000,1902,414,82
65000,2093,433,91
66000,2195,443,80
67000,2177,461,86
68000,2211,483,85
69000,2250,493,93
70000,2377,504,86
71000,2469,505,87
72000,2426,527,95
73000,2605,549,87
74000,2670,527,86
75000,2550,569,81
76000,2833,575,88
77000,2835,576,89
78000,2726,588,86
79000,2948,640,84
